"Aasta","Maakond","Näitaja","value"
"2001","Pärnu maakond","Liiklusõnnetused",150
"2002","Pärnu maakond","Liiklusõnnetused",151
"2003","Pärnu maakond","Liiklusõnnetused",119
"2004","Pärnu maakond","Liiklusõnnetused",115
"2005","Pärnu maakond","Liiklusõnnetused",161
"2006","Pärnu maakond","Liiklusõnnetused",195
"2007","Pärnu maakond","Liiklusõnnetused",215
"2008","Pärnu maakond","Liiklusõnnetused",144
"2009","Pärnu maakond","Liiklusõnnetused",119
"2010","Pärnu maakond","Liiklusõnnetused",113
"2011","Pärnu maakond","Liiklusõnnetused",123
"2012","Pärnu maakond","Liiklusõnnetused",80
"2013","Pärnu maakond","Liiklusõnnetused",94
"2014","Pärnu maakond","Liiklusõnnetused",101
"2015","Pärnu maakond","Liiklusõnnetused",91
"1998","..Pärnu linn","Liiklusõnnetused",46
"1999","..Pärnu linn","Liiklusõnnetused",27
"2000","..Pärnu linn","Liiklusõnnetused",19
"2001","..Pärnu linn","Liiklusõnnetused",55
"2002","..Pärnu linn","Liiklusõnnetused",72
"2003","..Pärnu linn","Liiklusõnnetused",65
"2004","..Pärnu linn","Liiklusõnnetused",56
"2005","..Pärnu linn","Liiklusõnnetused",77
"2006","..Pärnu linn","Liiklusõnnetused",87
"2007","..Pärnu linn","Liiklusõnnetused",91
"2008","..Pärnu linn","Liiklusõnnetused",65
"2009","..Pärnu linn","Liiklusõnnetused",38
"2010","..Pärnu linn","Liiklusõnnetused",55
"2011","..Pärnu linn","Liiklusõnnetused",62
"2012","..Pärnu linn","Liiklusõnnetused",35
"2013","..Pärnu linn","Liiklusõnnetused",48
"2014","..Pärnu linn","Liiklusõnnetused",58
"2015","..Pärnu linn","Liiklusõnnetused",40
"1998","Rapla maakond","Liiklusõnnetused",86
"1999","Rapla maakond","Liiklusõnnetused",66
"2000","Rapla maakond","Liiklusõnnetused",50
"2001","Rapla maakond","Liiklusõnnetused",70
"2002","Rapla maakond","Liiklusõnnetused",78
"2003","Rapla maakond","Liiklusõnnetused",49
"2004","Rapla maakond","Liiklusõnnetused",67
"2005","Rapla maakond","Liiklusõnnetused",67
"2006","Rapla maakond","Liiklusõnnetused",62
"2007","Rapla maakond","Liiklusõnnetused",88
"2008","Rapla maakond","Liiklusõnnetused",57
"2009","Rapla maakond","Liiklusõnnetused",46
"2010","Rapla maakond","Liiklusõnnetused",45
"2011","Rapla maakond","Liiklusõnnetused",27
"2012","Rapla maakond","Liiklusõnnetused",27
"2013","Rapla maakond","Liiklusõnnetused",40
"2014","Rapla maakond","Liiklusõnnetused",43
"2015","Rapla maakond","Liiklusõnnetused",46
"1998","Saare maakond","Liiklusõnnetused",36
"1999","Saare maakond","Liiklusõnnetused",25
"2000","Saare maakond","Liiklusõnnetused",29
"2001","Saare maakond","Liiklusõnnetused",58
"2002","Saare maakond","Liiklusõnnetused",53
"2003","Saare maakond","Liiklusõnnetused",47
"2004","Saare maakond","Liiklusõnnetused",67
"2005","Saare maakond","Liiklusõnnetused",73
"2006","Saare maakond","Liiklusõnnetused",82
"2007","Saare maakond","Liiklusõnnetused",74
"2008","Saare maakond","Liiklusõnnetused",58
"2009","Saare maakond","Liiklusõnnetused",54
"2010","Saare maakond","Liiklusõnnetused",27
"2011","Saare maakond","Liiklusõnnetused",36
"2012","Saare maakond","Liiklusõnnetused",34
"2013","Saare maakond","Liiklusõnnetused",32
"2014","Saare maakond","Liiklusõnnetused",34
"2015","Saare maakond","Liiklusõnnetused",39
"1998","Tartu maakond","Liiklusõnnetused",214
"1999","Tartu maakond","Liiklusõnnetused",221
"2000","Tartu maakond","Liiklusõnnetused",200
"2001","Tartu maakond","Liiklusõnnetused",260
"2002","Tartu maakond","Liiklusõnnetused",333
"2003","Tartu maakond","Liiklusõnnetused",287
"2004","Tartu maakond","Liiklusõnnetused",350
"2005","Tartu maakond","Liiklusõnnetused",337
"2006","Tartu maakond","Liiklusõnnetused",321
"2007","Tartu maakond","Liiklusõnnetused",328
"2008","Tartu maakond","Liiklusõnnetused",288
"2009","Tartu maakond","Liiklusõnnetused",238
"2010","Tartu maakond","Liiklusõnnetused",199
"2011","Tartu maakond","Liiklusõnnetused",192
"2012","Tartu maakond","Liiklusõnnetused",210
"2013","Tartu maakond","Liiklusõnnetused",221
"2014","Tartu maakond","Liiklusõnnetused",200
"2015","Tartu maakond","Liiklusõnnetused",143
"1998","..Tartu linn","Liiklusõnnetused",102
"1999","..Tartu linn","Liiklusõnnetused",94
"2000","..Tartu linn","Liiklusõnnetused",106
"2001","..Tartu linn","Liiklusõnnetused",142
"2002","..Tartu linn","Liiklusõnnetused",185
"2003","..Tartu linn","Liiklusõnnetused",154
"2004","..Tartu linn","Liiklusõnnetused",204
"2005","..Tartu linn","Liiklusõnnetused",207
"2006","..Tartu linn","Liiklusõnnetused",169
"2007","..Tartu linn","Liiklusõnnetused",177
"2008","..Tartu linn","Liiklusõnnetused",161
"2009","..Tartu linn","Liiklusõnnetused",145
"2010","..Tartu linn","Liiklusõnnetused",118
"2011","..Tartu linn","Liiklusõnnetused",119
"2012","..Tartu linn","Liiklusõnnetused",142
"2013","..Tartu linn","Liiklusõnnetused",133
"2014","..Tartu linn","Liiklusõnnetused",120
"2015","..Tartu linn","Liiklusõnnetused",94
"1998","Valga maakond","Liiklusõnnetused",24
"1999","Valga maakond","Liiklusõnnetused",26
"2000","Valga maakond","Liiklusõnnetused",31
"2001","Valga maakond","Liiklusõnnetused",64
"2002","Valga maakond","Liiklusõnnetused",51
"2003","Valga maakond","Liiklusõnnetused",53
"2004","Valga maakond","Liiklusõnnetused",37
"2005","Valga maakond","Liiklusõnnetused",51
"2006","Valga maakond","Liiklusõnnetused",48
"2007","Valga maakond","Liiklusõnnetused",58
"2008","Valga maakond","Liiklusõnnetused",54
"2009","Valga maakond","Liiklusõnnetused",34
"2010","Valga maakond","Liiklusõnnetused",31
"2011","Valga maakond","Liiklusõnnetused",35
"2012","Valga maakond","Liiklusõnnetused",34
"2013","Valga maakond","Liiklusõnnetused",36
"2014","Valga maakond","Liiklusõnnetused",36
"2015","Valga maakond","Liiklusõnnetused",24
"1998","Viljandi maakond","Liiklusõnnetused",72
"1999","Viljandi maakond","Liiklusõnnetused",40
"2000","Viljandi maakond","Liiklusõnnetused",41
"2001","Viljandi maakond","Liiklusõnnetused",42
"2002","Viljandi maakond","Liiklusõnnetused",77
"2003","Viljandi maakond","Liiklusõnnetused",75
"2004","Viljandi maakond","Liiklusõnnetused",82
"2005","Viljandi maakond","Liiklusõnnetused",101
"2006","Viljandi maakond","Liiklusõnnetused",112
"2007","Viljandi maakond","Liiklusõnnetused",100
"2008","Viljandi maakond","Liiklusõnnetused",80
"2009","Viljandi maakond","Liiklusõnnetused",51
"2010","Viljandi maakond","Liiklusõnnetused",50
"2011","Viljandi maakond","Liiklusõnnetused",59
"2012","Viljandi maakond","Liiklusõnnetused",45
