"Vanuserühm","Maakond","Aasta","Sugu","value"
"Vanuserühmad kokku","Maakond teadmata","2010","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2011","Mehed ja naised",1329660
"Vanuserühmad kokku","Harju maakond","2011","Mehed ja naised",562230
"Vanuserühmad kokku","..Tallinn","2011","Mehed ja naised",401120
"Vanuserühmad kokku","Hiiu maakond","2011","Mehed ja naised",8670
"Vanuserühmad kokku","Ida-Viru maakond","2011","Mehed ja naised",156110
"Vanuserühmad kokku","Jõgeva maakond","2011","Mehed ja naised",32440
"Vanuserühmad kokku","Järva maakond*","2011","Mehed ja naised",31810
"Vanuserühmad kokku","Lääne maakond","2011","Mehed ja naised",25120
"Vanuserühmad kokku","Lääne-Viru maakond*","2011","Mehed ja naised",62120
"Vanuserühmad kokku","Põlva maakond","2011","Mehed ja naised",28440
"Vanuserühmad kokku","Pärnu maakond","2011","Mehed ja naised",85480
"Vanuserühmad kokku","Rapla maakond","2011","Mehed ja naised",35850
"Vanuserühmad kokku","Saare maakond","2011","Mehed ja naised",32060
"Vanuserühmad kokku","Tartu maakond","2011","Mehed ja naised",153690
"Vanuserühmad kokku","..Tartu linn","2011","Mehed ja naised",NA
"Vanuserühmad kokku","Valga maakond","2011","Mehed ja naised",31570
"Vanuserühmad kokku","Viljandi maakond","2011","Mehed ja naised",49510
"Vanuserühmad kokku","Võru maakond","2011","Mehed ja naised",34560
"Vanuserühmad kokku","Maakond teadmata","2011","Mehed ja naised",NA
"Vanuserühmad kokku","Kogu Eesti","2012","Mehed ja naised",1325217
"Vanuserühmad kokku","Harju maakond","2012","Mehed ja naised",566741
"Vanuserühmad kokku","..Tallinn","2012","Mehed ja naised",403862
"Vanuserühmad kokku","Hiiu maakond","2012","Mehed ja naised",8620
"Vanuserühmad kokku","Ida-Viru maakond","2012","Mehed ja naised",153716
"Vanuserühmad kokku","Jõgeva maakond","2012","Mehed ja naised",31967
"Vanuserühmad kokku","Järva maakond*","2012","Mehed ja naised",31204
"Vanuserühmad kokku","Lääne maakond","2012","Mehed ja naised",24734
"Vanuserühmad kokku","Lääne-Viru maakond*","2012","Mehed ja naised",61154
"Vanuserühmad kokku","Põlva maakond","2012","Mehed ja naised",28026
"Vanuserühmad kokku","Pärnu maakond","2012","Mehed ja naised",84388
"Vanuserühmad kokku","Rapla maakond","2012","Mehed ja naised",35503
"Vanuserühmad kokku","Saare maakond","2012","Mehed ja naised",31835
"Vanuserühmad kokku","Tartu maakond","2012","Mehed ja naised",153479
