"Tegevusala..EMTAK.2008.","Maakond","Aasta","value"
"Tegevusalad kokku","Hiiu maakond","2010",834
"Tegevusalad kokku","Ida-Viru maakond","2010",5842
"Tegevusalad kokku","Jõgeva maakond","2010",2100
"Tegevusalad kokku","Järva maakond","2010",1906
"Tegevusalad kokku","Lääne maakond","2010",1886
"Tegevusalad kokku","Lääne-Viru maakond","2010",3873
"Tegevusalad kokku","Põlva maakond","2010",1904
"Tegevusalad kokku","Pärnu maakond","2010",6530
"Tegevusalad kokku","Rapla maakond","2010",2600
"Tegevusalad kokku","Saare maakond","2010",2776
"Tegevusalad kokku","Tartu maakond","2010",10562
"Tegevusalad kokku","Valga maakond","2010",1883
"Tegevusalad kokku","Viljandi maakond","2010",3349
"Tegevusalad kokku","Võru maakond","2010",2492
"Tegevusalad kokku","Kogu Eesti","2011",103833
"Tegevusalad kokku","Harju maakond","2011",54228
"Tegevusalad kokku","..Tallinn","2011",42773
"Tegevusalad kokku","Hiiu maakond","2011",864
"Tegevusalad kokku","Ida-Viru maakond","2011",5868
"Tegevusalad kokku","Jõgeva maakond","2011",2174
"Tegevusalad kokku","Järva maakond","2011",1952
"Tegevusalad kokku","Lääne maakond","2011",1906
"Tegevusalad kokku","Lääne-Viru maakond","2011",3922
"Tegevusalad kokku","Põlva maakond","2011",1931
"Tegevusalad kokku","Pärnu maakond","2011",6630
"Tegevusalad kokku","Rapla maakond","2011",2653
"Tegevusalad kokku","Saare maakond","2011",2878
"Tegevusalad kokku","Tartu maakond","2011",11050
"Tegevusalad kokku","Valga maakond","2011",1856
"Tegevusalad kokku","Viljandi maakond","2011",3386
"Tegevusalad kokku","Võru maakond","2011",2535
"Tegevusalad kokku","Kogu Eesti","2012",108884
"Tegevusalad kokku","Harju maakond","2012",57959
"Tegevusalad kokku","..Tallinn","2012",45787
"Tegevusalad kokku","Hiiu maakond","2012",864
"Tegevusalad kokku","Ida-Viru maakond","2012",6023
"Tegevusalad kokku","Jõgeva maakond","2012",2198
"Tegevusalad kokku","Järva maakond","2012",2003
"Tegevusalad kokku","Lääne maakond","2012",1925
"Tegevusalad kokku","Lääne-Viru maakond","2012",4001
"Tegevusalad kokku","Põlva maakond","2012",1967
"Tegevusalad kokku","Pärnu maakond","2012",6779
"Tegevusalad kokku","Rapla maakond","2012",2704
"Tegevusalad kokku","Saare maakond","2012",2937
"Tegevusalad kokku","Tartu maakond","2012",11613
"Tegevusalad kokku","Valga maakond","2012",1864
"Tegevusalad kokku","Viljandi maakond","2012",3486
"Tegevusalad kokku","Võru maakond","2012",2561
"Tegevusalad kokku","Kogu Eesti","2013",112760
"Tegevusalad kokku","Harju maakond","2013",60759
"Tegevusalad kokku","..Tallinn","2013",48155
"Tegevusalad kokku","Hiiu maakond","2013",881
"Tegevusalad kokku","Ida-Viru maakond","2013",6133
"Tegevusalad kokku","Jõgeva maakond","2013",2228
"Tegevusalad kokku","Järva maakond","2013",2026
"Tegevusalad kokku","Lääne maakond","2013",1978
"Tegevusalad kokku","Lääne-Viru maakond","2013",4078
"Tegevusalad kokku","Põlva maakond","2013",1991
"Tegevusalad kokku","Pärnu maakond","2013",6905
"Tegevusalad kokku","Rapla maakond","2013",2760
"Tegevusalad kokku","Saare maakond","2013",2965
"Tegevusalad kokku","Tartu maakond","2013",12063
