idnum,asutus.2014,struktuuriuksus.2014,allstruktuuriuksus.2014,ametikoht.2014,koormus.2014,põhipalk.2014,asutus.2015,struktuuriuksus.2015,allstruktuuriuksus.2015,ametikoht.2015,koormus.2015,põhipalk.2015
3174,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,960,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1000
3175,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,890,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,890
3176,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1000,NA,NA,NA,NA,NA,NA
3177,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,965,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,965
3178,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3179,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1040,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1040
3180,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1190,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1200
3181,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,900,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,950
3182,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,980,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3183,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1130,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1200
3184,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,900,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,950
3185,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,910,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,950
3186,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,940,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3187,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,920,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,950
3188,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,910,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,970
3189,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,910,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,950
3190,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1050,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3191,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3192,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,920,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,950
3193,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,910,NA,NA,NA,NA,NA,NA
3194,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,peainspektor,1.0,1220
3195,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3196,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,970,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3197,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3198,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,1020
3199,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,810,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,vaneminspektor,1.0,930
3200,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,855,Maksu- ja Tolliamet,Tollikorralduse osakond,Legaalse kaubanduse kontrolli talitus,inspektor,1.0,920
3201,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,890,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,890
3202,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,860,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,900
3203,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,880,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,900
3204,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,900,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,900
3205,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,840,Maksu- ja Tolliamet,Tollikorralduse osakond,Muuga piiripunkt,inspektor,1.0,900
3206,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,juhtivinspektor,1.0,1445,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,juhtivinspektor,1.0,1485
3207,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,juhtivinspektor,1.0,1490,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,juhtivinspektor,1.0,1530
3208,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,juhtivinspektor,1.0,1368,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,juhtivinspektor,1.0,1408
3209,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1260,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1310
3210,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1261,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1310
3211,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1230,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1250
3212,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1149,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1199
3213,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1211,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1241
3214,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1250,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,peainspektor,1.0,1300
3215,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,942,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,972
3216,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1033,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1063
3217,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,959,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,989
3218,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,856,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,886
3219,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1009,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1044
3220,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,926,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,951
3221,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1085,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1115
3222,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,997,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1025
3223,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,934,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,964
3224,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,949,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,999
3225,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,962,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,992
3226,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,968,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1003
3227,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,962,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,992
3228,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1081,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1111
3229,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1011,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1031
3230,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,888,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,908
3231,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1120,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1150
3232,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,925,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,950
3233,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,971,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,994
3234,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1090,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1110
3235,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1024,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1044
3236,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,980,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1000
3237,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1050,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,vaneminspektor,1.0,1080
3238,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,840,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,872
3239,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,950,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,980
3240,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,858,NA,NA,NA,NA,NA,NA
3241,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,885,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,910
3242,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,929,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,950
3243,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,800,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,832
3244,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,883,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,903
3245,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,919,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,949
3246,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,802,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,832
3247,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,788,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,819
3248,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,930,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,955
3249,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,874,Maksu- ja Tolliamet,Tollikorralduse osakond,Reisiterminali piiripunkt,inspektor,1.0,909
3250,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,juhtivinspektor,1.0,1400,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,juhtivinspektor,1.0,1440
3251,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,850,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,879
3252,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,940,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,970
3253,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,1020,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,1050
3254,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,940,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,970
3255,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,850,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,875
3256,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,900,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,930
3257,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,860,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,885
3258,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,960,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,vaneminspektor,1.0,990
3259,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,inspektor,1.0,850,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,inspektor,1.0,875
3260,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,inspektor,1.0,830,Maksu- ja Tolliamet,Tollikorralduse osakond,Lennujaama piiripunkt,inspektor,1.0,855
3261,Maksu- ja Tolliamet,Tollikorralduse osakond,Paldiski piiripunkt,vaneminspektor,1.0,950,Maksu- ja Tolliamet,Tollikorralduse osakond,Paldiski piiripunkt,vaneminspektor,1.0,950
3262,Maksu- ja Tolliamet,Tollikorralduse osakond,Paldiski piiripunkt,vaneminspektor,1.0,910,Maksu- ja Tolliamet,Tollikorralduse osakond,Paldiski piiripunkt,vaneminspektor,1.0,910
3263,Maksu- ja Tolliamet,Tollikorralduse osakond,Ida tollipunkt,tollipunktijuhataja,1.0,1800,Maksu- ja Tolliamet,Tollikorralduse osakond,Ida tollipunkt,tollipunktijuhataja,1.0,1950
3264,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,juhtivinspektor,1.0,1425,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,juhtivinspektor,1.0,1475
3265,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,1010,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,1095
3266,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,1085
3267,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,1085
3268,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,1000,NA,NA,NA,NA,NA,NA
3269,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,960,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,peainspektor,1.0,985
3270,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,934,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,974
3271,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,934,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,974
3272,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,885,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,974
3273,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,934,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,1085
3274,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,934,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,vaneminspektor,1.0,974
3275,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,854,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,904
3276,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,825,NA,NA,NA,NA,NA,NA
3277,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,830,NA,NA,NA,NA,NA,NA
3278,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,870,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,920
3279,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,855,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,855
3280,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,865,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,915
3281,Maksu- ja Tolliamet,Tollikorralduse osakond,Sillamae piiripunkt,inspektor,1.0,820,NA,NA,NA,NA,NA,NA
3282,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,juhtivinspektor,1.0,1350,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,peainspektor,1.0,1375
3283,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,peainspektor,1.0,1200,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,peainspektor,1.0,1340
3284,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,894,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,894
3285,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,940,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,940
3286,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,1029,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,1075
3287,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,890,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,vaneminspektor,1.0,890
3288,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,835,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,890
3289,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,855,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,905
3290,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,840,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,885
3291,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,880,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,950
3292,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,880,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,910
3293,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,865,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva raudtee piiripunkt,inspektor,1.0,895
3294,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,juhtivinspektor,1.0,1350,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,juhtivinspektor,1.0,1410
3295,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,juhtivinspektor,1.0,1425,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,juhtivinspektor,1.0,1490
3296,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1023,Maksu- ja Tolliamet,Kontrolliosakond,VI kontrollitalitus,revident,1.0,1023
3297,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1100,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1200
3298,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1000,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1130
3299,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1200,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1340
3300,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1200,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1340
3301,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1200,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,peainspektor,1.0,1340
3302,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,vaneminspektor,1.0,930,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,vaneminspektor,1.0,930
3303,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,vanemnspektor,1.0,863,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,vaneminspektor,1.0,933
3304,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,vaneminspektor,1.0,850,Maksu- ja Tolliamet,Tollikorralduse osakond,Narva mnt piiripunkt,vaneminspektor,1.0,900
