"sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"Mees",60,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",NA,"Suurel määral",313.297,283.093,NA
"Naine",35,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Põhi","Madal",276.007,"Mõningal määral",205.9,162.285,199.563
"Naine",37,"25-49","Jah","Põhi",NA,"Jah","Hõivatud","Rahuldav","Põhi","Madal",552.33,"Mõningal määral",269.15,245.002,NA
"Mees",57,"50+","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",460.223,"Mõningal määral",161.869,227.179,182.619
"Naine",60,"50+","Ei","Põhi","Kesk","Jah","Hõivatud","Halb","Põhi","Madal",346.667,"Mõningal määral",294.082,269.085,NA
"Naine",21,"16-24","Ei","Kõrg","Põhi","Ei","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Väga suurel määral",251.427,222.688,NA
"Naine",29,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",866.667,"Suurel määral",290.326,316.398,330.64
"Mees",21,"16-24","Ei","Kesk","Kesk",NA,"Hõivatud","Suurepärane","Kesk","Keskmine",710.229,"Suurel määral",296.607,250.363,270.312
"Naine",57,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1040,"Suurel määral",301.919,262.759,NA
"Naine",63,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",219.833,283.663,NA
"Naine",19,"16-24","Ei","Kesk","Kesk",NA,"Hõivatud","Väga hea","Põhi","Madal",NA,"Väga suurel määral",230.19,253.579,263.979
"Naine",63,"50+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naine",39,"25-49","Jah","Põhi","Kesk","Jah","Töötu","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",194.477,157.872,NA
"Mees",38,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",2383.33,"Suurel määral",170.571,194.143,180.618
"Mees",16,"16-24","Ei","Kõrg","Kesk","Ei","Hõivatud","Hea","Põhi","Madal",NA,"Suurel määral",323.825,318.048,329.289
"Mees",59,"50+","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",341.798,"Suurel määral",210.487,233.992,203.043
"Naine",23,"16-24","Ei","Kõrg","Kesk","Ei","Hõivatud","Väga hea","Kesk","Keskmine",486.539,"Suurel määral",306.536,294.72,313.46
"Naine",58,"50+","Ei","Põhi","Kõrg","Jah","Mitteaktiivne","Halb","Põhi","Madal",NA,"Mõningal määral",305.795,316.787,NA
"Mees",20,"16-24","Ei","Kesk","Kesk","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",NA,"Väga suurel määral",331.307,315.831,312.957
"Naine",23,"16-24","Ei","Kesk","Kõrg",NA,"Hõivatud","Väga hea","Kesk","Keskmine",920.761,"Väga suurel määral",319.613,286.485,301.972
"Naine",60,"50+","Jah","Kõrg","Põhi","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1276.03,"Väga suurel määral",302.742,268.029,257.68
"Naine",45,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",644.475,"Mõningal määral",290.007,290.428,267.638
"Naine",63,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",184.53,198.441,NA
"Naine",65,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",265.799,250.652,NA
"Naine",60,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",223.374,"Mõningal määral",315.058,280.907,NA
"Naine",55,"50+","Ei","Põhi","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",354.957,"Väga suurel määral",236.652,199.557,259.008
"Naine",32,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Kesk-järgne kutse","Keskmine",261.533,"Väga suurel määral",314.623,312.392,319.191
"Mees",39,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Põhi","Madal",486.539,"Väga vähe",240.215,207.889,NA
"Mees",61,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",381.273,"Suurel määral",321.478,301.458,NA
"Mees",29,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",1276.03,"Suurel määral",265.955,294.757,323.759
"Naine",27,"25-49","Ei","Kõrg","Kesk","Jah","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",NA,"Suurel määral",236.775,257.208,236.974
"Naine",27,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",460.223,"Väga suurel määral",266.286,226.792,253.459
"Naine",28,"25-49","Ei","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1086.56,"Väga suurel määral",278.873,283.03,292.673
"Mees",62,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",269.483,271.561,NA
"Naine",45,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",520,"Väga suurel määral",234.465,214.544,NA
"Mees",60,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Väga vähe",256.171,218.343,NA
"Mees",56,"50+","Jah","Kesk",NA,NA,"Hõivatud","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",300.175,277.44,297.892
"Naine",65,"50+","Jah","Kõrg","Kõrg","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",301.008,"Mõningal määral",278.672,287.756,241.36
"Mees",34,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1144.45,"Suurel määral",289.635,310.545,NA
"Naine",23,"16-24","Ei","Kesk","Kõrg","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",289.166,"Mõningal määral",284.284,265.583,234.56
"Mees",25,"25-49","Ei","Kesk","Põhi","Ei","Hõivatud","Hea","Kesk","Keskmine",618.121,"Suurel määral",267.527,204.722,NA
"Mees",35,"25-49","Jah","Kesk",NA,"Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",NA,"Mõningal määral",261.718,304.163,NA
"Naine",59,"50+","Ei","Põhi","Põhi",NA,"Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Üldse mitte",251.601,230.853,NA
"Naine",16,"16-24","Ei","Kõrg",NA,"Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Suurel määral",253.637,264.301,269.029
"Mees",60,"50+","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Põhi","Madal",520.498,"Suurel määral",260.887,250.068,NA
"Naine",64,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Põhi","Madal",NA,"Suurel määral",232.686,188.634,NA
"Naine",27,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",550,"Suurel määral",319.077,309.863,295.953
"Mees",27,"25-49","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel määral",321.383,306.496,325.902
"Mees",62,"50+","Jah",NA,"Põhi","Jah","Hõivatud","Halb","Kesk","Keskmine",NA,"Suurel määral",292.375,295.962,NA
"Mees",52,"50+","Jah","Kõrg","Kesk","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1600,"Suurel määral",254.1,291.97,270.9
"Mees",47,"25-49","Jah","Kõrg","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",NA,"Mõningal määral",277.635,325.418,301.559
"Mees",32,"25-49","Ei","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",1100,"Suurel määral",298.198,276.09,NA
"Naine",58,"50+","Jah","Põhi","Kesk","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Suurel määral",283.744,254.405,NA
"Mees",52,"50+","Jah","Põhi","Põhi",NA,"Töötu","Rahuldav","Kesk-järgne kutse","Keskmine",NA,"Mõningal määral",149.782,158.78,NA
"Naine",41,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",329.333,"Mõningal määral",278.724,239.984,245.823
"Mees",38,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Suurel määral",255.611,279.082,245.242
"Naine",56,"50+","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1210.24,"Suurel määral",243.874,267.765,195.529
"Mees",45,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",420.748,"Suurel määral",260.522,260.865,NA
"Mees",41,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",2200,"Suurel määral",257.499,301.75,283.375
"Mees",19,"16-24","Ei","Kesk","Kesk","Ei","Mitteaktiivne","Väga hea","Kesk","Keskmine",NA,"Mõningal määral",229.916,241.94,273.712
"Naine",35,"25-49","Ei","Kõrg","Kesk","Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",881.286,"Suurel määral",271.346,282.473,222.501
"Naine",48,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Kesk","Keskmine",NA,"Suurel määral",278.3,290.303,283.174
"Mees",29,"25-49","Ei","Kesk","Kõrg","Ei","Hõivatud","Suurepärane","Kesk","Keskmine",1100.63,"Väga vähe",254.248,208.274,NA
"Naine",31,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",223.374,"Väga suurel määral",221.208,195.211,170.603
"Naine",40,"25-49","Jah","Kesk",NA,"Jah","Hõivatud","Hea","Kesk","Keskmine",341.798,"Mõningal määral",269.496,260.598,NA
"Mees",55,"50+","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1276.03,"Suurel määral",302.366,311.516,271.933
"Mees",56,"50+","Jah","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",750,"Suurel määral",294.168,334.096,267.827
