"sugu","vanus","vanus3","lapsed","emaharidus","isaharidus","kaaslane","staatus3","tervis","haridus","haridustase","sissetulek","meeldib_oppida","literacy","numeracy","psolvskills"
"Naine",45,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",486.539,"Väga suurel määral",311.086,332.749,304.514
"Mees",41,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",400,"Väga vähe",294.066,291.897,NA
"Naine",55,"50+","Jah","Kesk","Kõrg","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Väga vähe",236.564,241.653,231.51
"Naine",35,"25-49","Jah","Kesk","Kesk","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",1977.37,"Mõningal määral",241.542,263.909,251.672
"Naine",17,"16-24","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Suurel määral",331.909,313.19,333.995
"Naine",51,"50+","Jah","Kõrg","Kõrg","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1200,"Suurel määral",297.646,332.101,305.301
"Naine",23,"16-24","Ei","Kõrg","Kõrg","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",416.399,"Mõningal määral",236.834,246.883,275.934
"Mees",52,"50+","Jah","Kõrg","Põhi",NA,"Töötu","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",284.999,299.445,NA
"Mees",49,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",500,"Suurel määral",324.469,292.762,267.295
"Naine",30,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",486.539,"Suurel määral",318.778,291.127,312.843
"Naine",50,"50+","Jah","Kõrg",NA,"Jah","Mitteaktiivne","Halb","Kesk-järgne kutse","Keskmine",NA,"Üldse mitte",246.965,227.636,NA
"Mees",39,"25-49","Ei","Põhi",NA,"Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",226.593,229.555,288.78
"Naine",24,"16-24","Jah","Põhi","Kesk","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",138.667,"Suurel määral",329.796,327.464,320.844
"Naine",29,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",486.539,"Suurel määral",291.73,283.712,274.938
"Naine",51,"50+","Jah","Põhi","Kesk","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",697.071,"Mõningal määral",319.808,324.457,300.675
"Naine",40,"25-49","Jah",NA,NA,"Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",236.198,224.701,269.858
"Naine",47,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",700,"Suurel määral",262.802,260.091,252.878
"Mees",24,"16-24","Ei","Kõrg","Kõrg","Ei","Hõivatud","Hea","Põhi","Madal",1556.78,"Mõningal määral",296.408,280.105,295.868
"Naine",47,"25-49","Jah","Põhi","Põhi",NA,"Hõivatud","Hea","Kesk-järgne kutse","Keskmine",NA,"Suurel määral",282.471,281.744,NA
"Mees",50,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Põhi","Madal",NA,"Mõningal määral",310.031,310.505,NA
"Naine",21,"16-24","Ei","Kõrg","Kesk","Ei","Mitteaktiivne","Väga hea","Kesk","Keskmine",NA,"Väga suurel määral",316.975,255.141,316.166
"Naine",47,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",618.121,"Suurel määral",383.068,363.374,372.402
"Mees",22,"16-24","Ei","Kõrg","Kesk","Ei","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Suurel määral",284.902,293.499,317.279
"Naine",58,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",3450,"Suurel määral",329.169,314.909,297.745
"Naine",33,"25-49","Ei","Kõrg","Kesk",NA,"Töötu","Hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",291.971,286.029,295.467
"Naine",28,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",460.223,"Suurel määral",329.287,286.304,318.569
"Mees",63,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Halb","Põhi","Madal",693.333,"Mõningal määral",332.544,330.26,NA
"Mees",29,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",683.913,"Väga suurel määral",276.406,281.328,276.397
"Naine",56,"50+","Jah","Põhi","Kesk","Ei","Mitteaktiivne","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",267.603,250.238,260.395
"Mees",23,"16-24","Ei","Kõrg","Põhi","Ei","Hõivatud","Väga hea","Kesk","Keskmine",683.913,"Mõningal määral",371.217,330.397,336.619
"Mees",17,"16-24","Ei","Kesk","Põhi","Ei","Hõivatud","Rahuldav","Põhi","Madal",NA,"Väga suurel määral",225.96,230.498,228.377
"Mees",65,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Põhi","Madal",301.008,"Suurel määral",317.526,265.759,NA
"Naine",25,"25-49","Ei","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",455,"Suurel määral",292.631,245.181,299.878
"Naine",51,"50+","Jah","Põhi","Põhi","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",416.399,"Suurel määral",198.654,169.814,149.423
"Mees",53,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",312.401,340.976,263.462
"Mees",50,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Mõningal määral",308.41,316.486,NA
"Mees",58,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Mõningal määral",293.074,281.279,NA
"Mees",60,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",273.571,239.294,NA
"Naine",40,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",317.271,256.125,NA
"Naine",65,"50+","Jah","Kesk","Kesk",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",548.383,"Väga vähe",290.887,283.757,280.044
"Naine",58,"50+","Ei","Põhi","Kõrg","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",287,"Suurel määral",243.555,270.63,244.253
"Mees",30,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",NA,"Suurel määral",325.831,311.09,317.412
"Naine",51,"50+","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Kesk","Keskmine",1070,"Mõningal määral",291.175,305.851,304.395
"Naine",22,"16-24","Ei","Kõrg","Kesk","Ei","Hõivatud","Väga hea","Kesk","Keskmine",322.237,"Suurel määral",316.184,290.822,337.262
"Mees",36,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Väga hea","Põhi","Madal",2925.24,"Mõningal määral",273.608,264.941,291.803
"Naine",31,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",294.813,262.637,268.36
"Mees",60,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",300.377,317.264,NA
"Naine",53,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",381.273,"Suurel määral",247.994,220.136,NA
"Naine",23,"16-24","Jah","Kesk",NA,"Jah","Hõivatud","Väga hea","Põhi","Madal",650,"Suurel määral",225.496,205.606,221.065
"Naine",31,"25-49","Ei","Kõrg","Kesk","Ei","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",450,"Mõningal määral",256.977,240.228,NA
"Naine",65,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Suurel määral",294.873,281.204,NA
"Naine",61,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",254.296,262.966,232.455
"Naine",26,"25-49","Jah",NA,NA,"Ei","Töötu","Suurepärane","Põhi","Madal",NA,"Suurel määral",232.883,197.439,212.588
"Mees",52,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",2591.86,"Väga suurel määral",318.086,255.057,308.99
"Mees",52,"50+","Ei","Põhi","Põhi",NA,"Hõivatud","Rahuldav","Põhi","Madal",NA,"Suurel määral",254.621,246.98,NA
"Naine",43,"25-49","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk-järgne kutse","Keskmine",NA,"Väga vähe",257.786,231.331,NA
"Naine",65,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",639,"Suurel määral",301.428,293.274,234.835
"Naine",20,"16-24","Jah",NA,NA,"Jah","Töötu","Hea","Põhi","Madal",NA,"Väga suurel määral",266.694,240.904,304.483
"Mees",22,"16-24","Ei","Põhi",NA,"Ei","Hõivatud","Väga hea","Kesk","Keskmine",NA,"Suurel määral",303.089,302.724,303.264
"Naine",52,"50+","Jah","Kesk","Põhi",NA,"Hõivatud","Hea","Kesk","Keskmine",518.119,"Mõningal määral",233.166,268.175,240.457
"Naine",27,"25-49","Ei","Kesk","Kesk","Jah","Hõivatud","Väga hea","Kesk","Keskmine",710.229,"Suurel määral",331.438,318.599,329.608
"Mees",37,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",284.51,290.404,NA
"Naine",31,"25-49","Ei","Kesk","Kesk","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",710.229,"Väga suurel määral",328.243,301.382,309.752
"Mees",58,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",178.243,195.653,NA
"Naine",35,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Väga hea","Põhi","Madal",460.223,"Mõningal määral",322.119,290.569,NA
"Mees",27,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",1012.87,"Mõningal määral",312.511,324.775,294.531
"Mees",59,"50+","Jah","Kõrg","Kesk","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1000,"Suurel määral",311.026,304.444,278.278
"Mees",60,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",163.784,211.389,166.488
"Mees",22,"16-24","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",269.384,255.395,265.4
"Naine",52,"50+","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",285.667,276.964,267.38
"Naine",61,"50+","Jah","Põhi","Põhi",NA,"Hõivatud","Halb","Kesk","Keskmine",208,"Suurel määral",301.665,270.005,NA
"Mees",30,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",618.121,"Suurel määral",308.521,322.61,322.658
"Mees",27,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Rahuldav","Põhi","Madal",NA,"Suurel määral",325.156,316.99,292.656
"Mees",27,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",1078.66,"Suurel määral",225.595,255.029,253.603
"Mees",49,"25-49","Ei","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Kesk","Keskmine",683.913,"Mõningal määral",296.573,296.186,266.203
"Mees",29,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",333.231,310.844,295.53
"Naine",60,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",420.748,"Üldse mitte",203.651,210.199,NA
"Naine",35,"25-49","Jah","Kõrg","Kesk","Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1855,"Suurel määral",346.92,304.917,329.543
"Naine",52,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",526.014,"Suurel määral",285.481,286.297,254.634
"Mees",23,"16-24","Ei","Kõrg","Kõrg","Ei","Hõivatud","Väga hea","Kesk","Keskmine",1670.78,"Suurel määral",268.097,253.435,254.795
"Mees",64,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Kesk","Keskmine",1100.63,"Suurel määral",299.464,250.586,NA
"Naine",35,"25-49","Jah","Põhi","Kõrg","Jah","Mitteaktiivne","Hea","Rakenduskõrg","Kõrge",NA,"Mõningal määral",256.162,254.13,279.247
"Naine",16,"16-24","Ei","Kesk","Kõrg","Ei","Mitteaktiivne","Väga hea","Põhi","Madal",NA,"Väga suurel määral",308.544,310.055,329.776
"Naine",43,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",700,"Suurel määral",301.666,286.76,292.907
"Naine",50,"50+","Jah","Põhi","Põhi",NA,"Töötu","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",234.936,281.275,NA
"Naine",48,"25-49","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Halb","Põhi","Madal",NA,"Mõningal määral",288.712,277.033,NA
"Naine",38,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk","Keskmine",433.906,"Suurel määral",279.846,265.595,NA
"Naine",39,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1933.95,"Suurel määral",299.894,320.54,279.976
"Naine",41,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",830,"Mõningal määral",323.044,343.267,260.229
"Naine",64,"50+","Ei","Kõrg","Kõrg",NA,"Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Suurel määral",231.222,219.667,236.692
"Naine",22,"16-24","Ei","Kesk","Põhi","Ei","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",520,"Suurel määral",297.832,227.621,301.085
"Naine",44,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",749.704,"Suurel määral",343.224,332.991,330.104
"Naine",62,"50+","Jah","Põhi","Põhi",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",264.82,257.31,NA
"Mees",51,"50+","Ei","Kesk","Kesk","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",238.503,260.938,242.501
"Mees",63,"50+","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",281.28,279.712,NA
"Naine",24,"16-24","Jah",NA,NA,"Jah","Hõivatud","Suurepärane","Kesk","Keskmine",NA,"Mõningal määral",298.604,285.203,316.631
"Mees",27,"25-49","Ei","Kesk","Kesk","Ei","Hõivatud","Väga hea","Kesk","Keskmine",981.62,"Väga suurel määral",306.007,296.873,295.499
"Mees",43,"25-49","Ei","Põhi","Põhi",NA,"Mitteaktiivne","Halb","Põhi","Madal",NA,"Mõningal määral",267.347,235.663,NA
"Mees",22,"16-24","Ei","Põhi","Kesk",NA,"Hõivatud","Rahuldav","Kesk","Keskmine",683.913,"Väga vähe",189.624,166.987,193.551
"Naine",36,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",265.557,233.517,261.535
"Naine",55,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",618.121,"Mõningal määral",280.672,302.736,291.29
"Naine",38,"25-49","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",304.178,285.391,334.329
"Mees",39,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Põhi","Madal",815.495,"Suurel määral",303.63,306.955,NA
"Mees",48,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Suurel määral",228.447,215.337,200.472
"Naine",37,"25-49","Jah","Kesk","Kõrg","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",NA,"Suurel määral",334.073,296.711,302.473
"Mees",55,"50+","Jah","Kõrg","Kõrg",NA,"Mitteaktiivne","Hea","Kesk","Keskmine",NA,"Väga suurel määral",282.769,268.84,NA
"Naine",43,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",420.748,"Suurel määral",284.043,242.149,NA
"Naine",57,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Halb","Kesk","Keskmine",249.691,"Mõningal määral",259.141,275.424,NA
"Mees",61,"50+","Jah","Kõrg",NA,"Jah","Töötu","Rahuldav","Rakenduskõrg","Kõrge",NA,"Väga vähe",292.163,302.034,NA
"Naine",40,"25-49","Jah","Põhi","Kesk","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",693.333,"Väga vähe",238.648,188.378,209.733
"Naine",36,"25-49","Jah","Põhi",NA,"Jah","Hõivatud","Rahuldav","Kesk","Keskmine",881.286,"Väga suurel määral",243.217,281.194,275.695
"Naine",25,"25-49","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Väga hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",325.393,305.577,329.255
"Naine",51,"50+","Jah","Põhi","Põhi",NA,"Hõivatud","Väga hea","Kesk","Keskmine",346.667,"Üldse mitte",276.369,263.132,NA
"Mees",63,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",2000,"Suurel määral",387.877,375.129,NA
"Mees",34,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1473.41,"Väga vähe",280.451,277.985,303.216
"Naine",60,"50+","Ei","Põhi","Põhi","Ei","Mitteaktiivne","Halb","Kesk","Keskmine",NA,"Mõningal määral",148.54,192.922,NA
"Naine",62,"50+","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Suurel määral",268.265,264.188,244.217
"Naine",37,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Põhi","Madal",721,"Suurel määral",274.127,270.275,268.02
"Naine",51,"50+","Jah","Kõrg","Kõrg","Ei","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1539.2,"Suurel määral",259.993,286.636,273.252
"Naine",21,"16-24","Ei","Kõrg",NA,"Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Mõningal määral",264.759,240.916,245.523
"Mees",52,"50+","Jah","Kõrg","Kõrg","Ei","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",284.15,292.863,256.491
"Naine",57,"50+","Jah","Kesk","Kõrg","Ei","Hõivatud","Rahuldav","Rakenduskõrg","Kõrge",552.33,"Väga suurel määral",295.618,328.055,302.2
"Naine",55,"50+","Jah","Kesk","Kesk","Jah","Töötu","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Mõningal määral",286.104,245.127,NA
"Mees",22,"16-24","Ei","Kõrg","Kesk","Ei","Hõivatud","Väga hea","Kesk","Keskmine",128.895,"Väga suurel määral",266.019,318.703,287.515
"Naine",28,"25-49","Ei","Kõrg","Kõrg",NA,"Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",NA,"Mõningal määral",279.539,293.512,264.279
"Naine",35,"25-49","Ei","Põhi","Põhi","Jah","Hõivatud","Suurepärane","Kesk","Keskmine",NA,"Väga suurel määral",334.396,306.458,287.509
"Naine",65,"50+","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",416.399,"Väga vähe",249.057,254.586,NA
"Naine",58,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1150,"Mõningal määral",276.243,278.232,259.75
"Naine",20,"16-24","Ei","Kõrg","Kesk","Ei","Mitteaktiivne","Väga hea","Kesk","Keskmine",NA,"Suurel määral",282.896,290.707,333.079
"Naine",44,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",928.656,"Suurel määral",308.381,269.565,297.026
"Naine",24,"16-24","Ei","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",697.071,"Väga suurel määral",349.514,316.459,362.175
"Mees",62,"50+","Jah","Kesk","Kõrg","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",749.704,"Mõningal määral",263.344,321.741,276.77
"Mees",49,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk-järgne kutse","Keskmine",400,"Mõningal määral",279.794,275.225,NA
"Naine",34,"25-49","Jah","Põhi",NA,"Jah","Hõivatud","Rahuldav","Põhi","Madal",346.667,"Mõningal määral",185.536,229.515,159.761
"Naine",24,"16-24","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1023,"Suurel määral",296.617,277.682,294.21
"Mees",39,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Mõningal määral",253.862,276.854,NA
"Mees",34,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",273.386,281.831,252.451
"Naine",63,"50+","Jah","Kesk","Kesk",NA,"Hõivatud","Hea","Kesk","Keskmine",121.622,"Suurel määral",140.487,137.131,NA
"Mees",56,"50+","Jah","Kõrg","Põhi","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",1210.24,"Suurel määral",314.798,311.275,303.931
"Naine",41,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",1700,"Väga suurel määral",327.519,295.894,326.642
"Naine",50,"50+","Jah","Põhi","Põhi",NA,"Hõivatud","Halb","Akadeemiline kõrg","Kõrge",1276.03,"Väga suurel määral",325.624,316.378,273.64
"Naine",28,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",749.704,"Suurel määral",325.506,327.781,320.943
"Mees",31,"25-49","Ei","Kesk","Kesk","Ei","Hõivatud","Hea","Kesk","Keskmine",2012.93,"Suurel määral",266.616,274.745,268.548
"Naine",54,"50+","Jah","Põhi",NA,"Jah","Hõivatud","Hea","Kesk","Keskmine",NA,"Mõningal määral",279.915,285.305,258.425
"Naine",22,"16-24","Ei","Kesk","Põhi","Ei","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Mõningal määral",297.964,285.327,270.636
"Mees",61,"50+","Jah","Kesk","Põhi","Jah","Mitteaktiivne","Rahuldav","Rakenduskõrg","Kõrge",NA,"Mõningal määral",285.859,267.651,NA
"Naine",54,"50+","Jah","Kesk","Kesk","Jah","Hõivatud","Rahuldav","Akadeemiline kõrg","Kõrge",1000,"Mõningal määral",261.174,257.302,236.793
"Naine",38,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Hea","Põhi","Madal",486.539,"Mõningal määral",260.808,238.052,NA
"Naine",31,"25-49","Ei","Kõrg","Kõrg",NA,"Hõivatud","Suurepärane","Akadeemiline kõrg","Kõrge",1407.62,"Suurel määral",304.642,345.99,284.947
"Naine",35,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Väga hea","Rakenduskõrg","Kõrge",697.071,"Suurel määral",331.761,317.843,316.998
"Mees",51,"50+","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Põhi","Madal",NA,"Mõningal määral",230.871,267.663,196.253
"Naine",21,"16-24","Ei","Kesk",NA,"Ei","Töötu","Rahuldav","Kesk","Keskmine",NA,"Suurel määral",322.148,288.968,302.723
"Mees",27,"25-49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naine",59,"50+","Jah","Põhi","Põhi","Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",234.174,205.863,NA
"Mees",18,"16-24","Ei","Kõrg","Kõrg","Ei","Mitteaktiivne","Hea","Põhi","Madal",NA,"Mõningal määral",262.1,269.181,265.103
"Mees",34,"25-49","Jah","Kõrg","Kesk","Jah","Hõivatud","Väga hea","Kesk","Keskmine",NA,"Suurel määral",287.596,363,301.059
"Naine",60,"50+","Jah","Põhi","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",1332.61,"Suurel määral",264.977,239.466,219.58
"Naine",56,"50+","Jah","Kõrg","Kõrg","Jah","Hõivatud","Hea","Akadeemiline kõrg","Kõrge",723.388,"Mõningal määral",294.153,314.463,298.758
"Mees",46,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",NA,"Mõningal määral",268.112,284.592,278.707
"Mees",22,"16-24","Ei","Kõrg","Kesk",NA,"Hõivatud","Väga hea","Kesk","Keskmine",572.068,"Suurel määral",278.867,270.244,240.342
"Naine",65,"50+","Jah","Põhi","Põhi",NA,"Mitteaktiivne","Rahuldav","Kesk","Keskmine",NA,"Väga vähe",253.749,273.621,260.335
"Naine",30,"25-49","Jah","Kesk","Kesk","Jah","Mitteaktiivne","Väga hea","Rakenduskõrg","Kõrge",NA,"Väga suurel määral",318.355,270.241,315.29
"Naine",37,"25-49","Jah","Kõrg","Kesk","Ei","Hõivatud","Suurepärane","Rakenduskõrg","Kõrge",850,"Väga suurel määral",333.812,342.967,312.224
"Naine",32,"25-49","Jah","Kesk","Kesk","Jah","Hõivatud","Hea","Kesk-järgne kutse","Keskmine",520,"Suurel määral",307.266,309.433,309.444
"Naine",16,"16-24","Ei","Kesk","Põhi","Ei","Mitteaktiivne","Rahuldav","Põhi","Madal",NA,"Mõningal määral",263.632,251.184,257.511
"Mees",39,"25-49","Ei","Kesk","Kesk","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",NA,"Suurel määral",281.902,285.389,305.197
"Naine",39,"25-49","Jah","Põhi","Põhi","Jah","Mitteaktiivne","Hea","Akadeemiline kõrg","Kõrge",NA,"Väga suurel määral",311.27,297.439,295.321
"Naine",43,"25-49","Jah","Kesk","Põhi","Jah","Hõivatud","Hea","Rakenduskõrg","Kõrge",1733.33,"Väga suurel määral",265.965,277.229,NA
"Mees",41,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Väga hea","Akadeemiline kõrg","Kõrge",NA,"Suurel määral",319.227,319.096,321.096
"Mees",22,"16-24","Ei","Kesk","Põhi","Jah","Hõivatud","Väga hea","Kesk","Keskmine",2325.23,"Mõningal määral",298.207,297.088,NA
"Naine",42,"25-49","Jah","Kõrg","Kõrg","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",1560,"Suurel määral",238.278,234.529,235.469
"Naine",47,"25-49","Jah","Põhi","Põhi","Jah","Hõivatud","Rahuldav","Kesk","Keskmine",383.905,"Suurel määral",249.949,225.176,228.512
